word_id,word
0,zhe4
1,ni3
2,hao3
3,a1
4,shi4
5,ge4
6,bu4
7,you3
8,yao4
9,wo3
10,yi1
11,zai4
12,lai2
13,shen2
14,na4
15,en1
16,ta1
17,kan4
18,li3
19,ma1
20,xiao3
21,o1
22,mei2
23,qu4
24,dao4
25,bu2
26,hai2
27,chi1
28,che1
29,zuo4
30,wo4
31,gei3
32,ai1
33,hua4
34,hui4
35,jiu4
36,xia4
37,dui4
38,yi2
39,yang4
40,zen3
41,kai1
42,bian1
43,na2
44,shang4
45,la1
46,mian4
47,wan2
48,jia1
49,da4
50,na3
51,yi3
52,shuo1
53,ye3
54,jiang3
55,tong2
56,qi3
57,diao4
58,ba3
59,ke3
60,ba4
61,fang4
62,jiao4
63,da3
64,dian3
65,shi2
66,xi3
67,zhi1
68,kuai4
69,zhen1
70,guai1
71,ha1
72,hou4
73,ren2
74,shei2
75,shou3
76,tian1
77,dou1
78,xiong2
79,wei4
80,guo4
81,huo3
82,bi3
83,he1
84,you4
85,mi1
86,gan4
87,chu1
88,dai4
89,jiao3
90,neng2
91,zou3
92,xiang4
93,wa1
94,xie4
95,ji3
96,gao1
97,gen1
98,gong1
99,tou2
100,xue3
101,qi4
102,shui4
103,san1
104,duo1
105,heng1
106,sheng1
107,er2
108,zi4
109,xian1
110,yu2
111,dong1
112,fu2
113,xiang3
114,hei1
115,zi3
116,di4
117,dong4
118,nai3
119,chuan1
120,er4
121,se4
122,ba1
123,huai4
124,ca1
125,ji1
126,jing1
127,mai3
128,yong4
129,dan4
130,jin4
131,liang4
132,tiao4
133,wu3
134,bao4
135,deng3
136,xin1
137,chang4
138,shui3
139,tai4
140,ting1
141,bao3
142,lao3
143,liang3
144,nong4
145,hen3
146,piao4
147,xiao4
148,bei4
149,cai2
150,jiao1
151,ran2
152,fan4
153,le1
154,shu1
155,bai2
156,fei1
157,qiu2
158,ban4
159,bie2
160,hua1
161,li4
162,zhao3
163,ma3
164,yo1
165,bai3
166,lu4
167,zhan4
168,xiang1
169,yin1
170,zhang3
171,hui2
172,jin1
173,yi4
174,yuan2
175,dian4
176,gu3
177,jian3
178,xi1
179,xue2
180,ya1
181,da1
182,qi2
183,gua1
184,tu4
185,wen4
186,ben3
187,hong2
188,pao3
189,qing1
190,wu1
191,yan3
192,he2
193,xuan1
194,bang1
195,ding1
196,ge1
197,bi2
198,cai4
199,guo3
200,xian4
201,zhi3
202,gao4
203,huan1
204,mao1
205,peng2
206,shen1
207,xie2
208,xing2
209,zhuan3
210,lian3
211,niao4
212,ci4
213,diou1
214,pa4
215,zui3
216,gan3
217,gang1
218,kou3
219,ming2
220,pi4
221,shi1
222,zhi2
223,zhu3
224,qi1
225,tang2
226,zhang1
227,dang1
228,ji4
229,xie3
230,yang2
231,zhao4
232,chao3
233,gai4
234,guan1
235,jian4
236,ma2
237,yu4
238,bang4
239,mao4
240,mei3
241,qiang2
242,shou1
243,si4
244,du1
245,ei1
246,hai4
247,shu4
248,tuo1
249,ai4
250,bian4
251,fa1
252,fan1
253,jiu3
254,ku1
255,liu4
256,niao3
257,zang1
258,duo3
259,gan1
260,ju4
261,quan1
262,ba0
263,cha2
264,dao1
265,ding3
266,feng1
267,hu2
268,jing4
269,si3
270,you2
271,zao3
272,hua2
273,jie2
274,men2
275,niu2
276,si1
277,su4
278,xing4
279,ying1
280,you1
281,zhu4
282,long2
283,nian2
284,qiao1
285,ti4
286,dai1
287,gou3
288,guo1
289,liu2
290,rou4
291,shu3
292,tiao2
293,dao3
294,gu4
295,pang2
296,qian2
297,shi3
298,zui4
299,de2
300,e2
301,gua4
302,hou2
303,jie3
304,mao2
305,pian4
306,rang4
307,ti1
308,tu2
309,wa2
310,yu3
311,zhong1
312,an4
313,cheng2
314,dei3
315,hao4
316,luo2
317,shu2
318,wu4
319,ye4
320,zhu1
321,de4
322,deng1
323,huang2
324,la4
325,qie1
326,ri4
327,tie3
328,tong4
329,wai4
330,zheng4
331,zhuo1
332,bang3
333,chang2
334,huan4
335,jie1
336,ling2
337,po2
338,po4
339,shan1
340,shao3
341,yan2
342,ba2
343,guang1
344,ke4
345,mo2
346,nie1
347,qin2
348,ren4
349,song4
350,tan2
351,ting2
352,xiu1
353,zhen4
354,zhuang4
355,ai2
356,ban1
357,bo1
358,cai3
359,ceng2
360,chou4
361,die2
362,dou4
363,ku4
364,leng3
365,liang2
366,mei4
367,mu4
368,pai2
369,ping2
370,qian1
371,qing3
372,rou2
373,suo3
374,tu3
375,wen2
376,yao3
377,ben4
378,gao3
379,huo4
380,kong1
381,lan2
382,lang2
383,luan4
384,lv4
385,pa2
386,qiang3
387,xi4
388,zheng1
389,ban3
390,bei1
391,bian3
392,cha1
393,chong2
394,dong3
395,fang1
396,fang2
397,guo2
398,jing3
399,meyang4
400,nian4
401,nv3
402,qie2
403,wang3
404,wei2
405,zen2
406,cao3
407,chuang2
408,cong2
409,hong3
410,hu4
411,kuang1
412,lei4
413,nan2
414,niang2
415,pi2
416,te4
417,ti3
418,wan3
419,zha4
420,zhuang1
421,chui1
422,deng4
423,di3
424,du2
425,gu1
426,gui1
427,kou4
428,lun2
429,man4
430,mo1
431,nao3
432,ni2
433,peng4
434,sai1
435,shuai1
436,tang4
437,tian2
438,tu1
439,xing1
440,ye2
441,yong3
442,zhao2
443,zhong4
444,zhua1
445,bi1
446,biao3
447,chao2
448,chu3
449,chuan2
450,fen3
451,gai1
452,gong4
453,guai4
454,heng2
455,jian1
456,jue2
457,liu1
458,ou4
459,pao4
460,reng1
461,shao2
462,sheng2
463,sui4
464,xie1
465,yao1
466,zao1
467,zhe2
468,zhu2
469,bao1
470,bing1
471,chi2
472,e4
473,gui3
474,han4
475,hu1
476,huan2
477,hui1
478,jia4
479,juan3
480,kong3
481,ku3
482,ma4
483,mi3
484,pai1
485,pin1
486,qiao2
487,shao1
488,tai2
489,tang1
490,ya4
491,yao2
492,yue4
493,zhong3
494,zhun3
495,zuo2
496,zuo3
497,ao1
498,dang3
499,di1
500,du4
501,e1
502,ei4
503,gui4
504,hun1
505,jiang1
506,kao4
507,lian2
508,lie1
509,man2
510,mo3
511,quan2
512,re4
513,sha1
514,suan1
515,tai1
516,teng2
517,ti2
518,tong1
519,tong3
520,tui1
521,wa4
522,ya2
523,yin4
524,yun4
525,ai3
526,an1
527,bai4
528,beng4
529,bi4
530,cao1
531,er3
532,guan4
533,gun3
534,hu3
535,ka3
536,lei2
537,lia2
538,lou2
539,ming4
540,qu3
541,quan3
542,she2
543,sheng4
544,sui2
545,ta4
546,tao2
547,wang4
548,wu2
549,xin4
550,xing3
551,xuan3
552,yan4
553,chai1
554,chang3
555,chen2
556,cuo4
557,ding4
558,duan4
559,fu1
560,fu3
561,fu4
562,gou1
563,gou4
564,guan3
565,han3
566,huo2
567,ju2
568,ka1
569,ke2
570,lian4
571,ling4
572,mai4
573,mi4
574,mian3
575,miao4
576,niu3
577,po1
578,qiu1
579,shan3
580,shan4
581,she4
582,shuang1
583,suan4
584,tao4
585,tie1
586,tui3
587,wan1
588,wang1
589,zhi4
590,bei2
591,bei3
592,cai1
593,cha4
594,chai2
595,chuang1
596,chun1
597,cong1
598,dang4
599,dun1
600,fa3
601,fen1
602,gang3
603,ge2
604,hai3
605,jia2
606,jia3
607,jin3
608,kang1
609,kao3
610,ke1
611,ken3
612,keng1
613,lao2
614,le4
615,lie4
616,long1
617,mang2
618,mo4
619,pang4
620,pu3
621,qiao3
622,san3
623,sou4
624,tuo2
625,wang2
626,wei1
627,xiu4
628,xu4
629,yu1
630,yuan4
631,zhao1
632,zhou1
633,bo4
634,chu2
635,chu4
636,chuo1
637,da2
638,dai2
639,dian1
640,dong2
641,dui1
642,fan3
643,hui3
644,huir4
645,kong4
646,kuo4
647,lu1
648,lu2
649,lu3
650,min2
651,mu3
652,nuan3
653,pei1
654,pu1
655,qing2
656,ru2
657,sha3
658,shua1
659,sui1
660,tang3
661,ting3
662,tou4
663,tun1
664,wei3
665,xian3
666,xiong1
667,xue4
668,zha2
669,zheng3
670,zu2
671,zu3
672,a2
673,an2
674,b6
675,bing3
676,can1
677,chan2
678,chao1
679,chi3
680,chou1
681,chou2
682,chou3
683,cu1
684,dou3
685,duan3
686,dun4
687,duo4
688,fan2
689,fen4
690,gun4
691,ji2
692,jie4
693,juan4
694,kun4
695,lang3
696,lin2
697,ling3
698,luo4
699,man3
700,mao5
701,me0
702,min3
703,ne1
704,niou2
705,o4
706,pan2
707,pen1
708,pen2
709,piao1
710,qian4
711,qiang1
712,qiao4
713,qin1
714,que1
