rhythm_class,coda_type_gero21,rhythm_class_18
0,1+1+3,1+1+3
1,1+1+7,1+1+7
2,1+2+1,1+2+1
3,1+2+1+1,1+2+1+1
4,1+31,1+31
5,1+32,1+32
6,10-NOISE,10-NOISE
7,10R,10R
8,10RP1,10RP1
9,10RP2,10RP2
10,10i,10i
11,10iP1,10iP1
12,10iP2,10iP2
13,2+1,2+1
14,2+1+1,2+1+1
15,2+1+1+1,2+1+1+1
16,2+1+1+1+1,2+1+1+1+1
17,2+3,2+3
18,3+1,3+1
19,3+1+1,3+1+1
20,3+1+1+1,3+1+1+1
21,3+1+1+1+1,3+1+1+1+1
22,3-NOISE,3-NOISE
23,3D,3D
24,3DP1,3DP1
25,3DP2,3DP2
26,3DP3,3DP3
27,3P1,3P1
28,3P10,3P10
29,3P11,3P11
30,3P12,3P12
31,3P13,3P13
32,3P14,3P14
33,3P15,3P15
34,3P16,3P16
35,3P2,3P2
36,3P3,3P3
37,3P4,3P4
38,3P5,3P5
39,3P6,3P6
40,3P7,3P7
41,3P8,3P8
42,3P9,3P9
43,3R,3R
44,3RP1,3RP1
45,3RP2,3RP2
46,3RP3,3RP3
47,3RP4,3RP4
48,3RP5,3RP5
49,3RP6,3RP6
50,4+1,4+1
51,4-NOISE,4-NOISE
52,4D,4D
53,4DP1,4DP1
54,4P1,4P1
55,4P2,4P2
56,4P3,4P3
57,4P4,4P4
58,4P5,4P5
59,4P6,4P6
60,4P7,4P7
61,4R1,4R
62,4R2,4R
63,4RP1,4RP1
64,4RP2,4RP2
65,4RP3,4RP3
66,4RP4,4RP4
67,4RP5,4RP5
68,4RP6,4RP6
69,4RP7,4RP7
70,4RP8,4RP8
71,5+1+1,5+1+1
72,5-NOISE,5-NOISE
73,5P1,5P1
74,5P2,5P2
75,5P3,5P3
76,5P4,5P4
77,5P5,5P5
78,5P6,5P6
79,5R1,5R
80,5R2,5R
81,5R3,5R
82,5RP1,5RP1
83,5RP2,5RP2
84,5RP3,5RP3
85,5RP4,5RP4
86,6+1,6+1
87,6+1+1,6+1+1
88,6+1+1+1,6+1+1+1
89,6-NOISE,6-NOISE
90,6P1,6P1
91,6R,6R
92,6RP1,6RP1
93,6RP2,6RP2
94,6RP3,6RP3
95,6i,6i
96,6iP1,6iP1
97,6iP2,6iP2
98,6iP3,6iP3
99,6iP4,6iP4
100,7-NOISE,7-NOISE
101,7D1,7D
102,7D2,7D
103,7R,7R
104,7RP1,7RP1
105,7RP2,7RP2
106,7RP3,7RP3
107,7RP4,7RP4
108,7RP5,7RP5
109,7i,7i
110,7iP1,7iP1
111,7iP2,7iP2
112,7iP3,7iP3
113,7iP4,7iP4
114,7iP5,7iP5
115,7iP6,7iP6
116,8-NOISE,8-NOISE
117,8D,8D
118,8R,8R
119,8RP1,8RP1
120,8RP2,8RP2
121,8i,8i
122,8iP1,8iP1
123,8iP2,8iP2
124,8iP3,8iP3
125,9-NOISE,9-NOISE
126,9R,9R
127,9RP1,9RP1
128,9RP2,9RP2
129,9i,9i
130,9iP1,9iP1
