whale_id,Whale
0,hersh2022_pacific::UNK
1,sharma2024_dswp::UNK
2,sharma2024_dswp::local:1
3,sharma2024_dswp::local:10
4,sharma2024_dswp::local:11
5,sharma2024_dswp::local:2
6,sharma2024_dswp::local:3
7,sharma2024_dswp::local:4
8,sharma2024_dswp::local:5
9,sharma2024_dswp::local:6
10,sharma2024_dswp::local:7
11,sharma2024_dswp::local:8
12,sharma2024_dswp::local:9
13,sharma2024_dswp::photo:5125
14,sharma2024_dswp::photo:5126
15,sharma2024_dswp::photo:5130
16,sharma2024_dswp::photo:5133
17,sharma2024_dswp::photo:5151
18,sharma2024_dswp::photo:5560
19,sharma2024_dswp::photo:5561
20,sharma2024_dswp::photo:5562
21,sharma2024_dswp::photo:5563
22,sharma2024_dswp::photo:5586
23,sharma2024_dswp::photo:5589
24,sharma2024_dswp::photo:5703
25,sharma2024_dswp::photo:5712
26,sharma2024_dswp::photo:5719
27,sharma2024_dswp::photo:5720
28,sharma2024_dswp::photo:5722
29,sharma2024_dswp::photo:5726
30,sharma2024_dswp::photo:5727
31,sharma2024_dswp::photo:5759
32,sharma2024_dswp::photo:5973
33,sharma2024_dswp::photo:5978
34,sharma2024_dswp::photo:5979
35,sharma2024_dswp::photo:5981
36,sharma2024_dswp::photo:5981/5978
37,sharma2024_dswp::photo:5987
38,sharma2024_dswp::photo:59871
39,sharma2024_dswp::photo:59871?
40,sharma2024_dswp::photo:6035
41,sharma2024_dswp::photo:6052
42,sharma2024_dswp::photo:6058
43,sharma2024_dswp::photo:6059
44,sharma2024_dswp::photo:6069
45,sharma2024_dswp::photo:6070
46,sharma2024_dswp::photo:6070/6068
47,sharma2024_dswp::photo:9999
48,sharma2025_birth::local:CETI23-277_seg1
49,sharma2025_birth::local:CETI23-277_seg2
50,sharma2025_birth::local:CETI23-277_seg3
51,sharma2025_birth::local:CETI23-277_seg4
52,sharma2025_birth::local:CETI23-277_seg5
53,sharma2025_birth::local:CETI23-277_seg6
54,sharma2025_birth::local:CETI23-277_seg7
55,sharma2025_birth::local:CETI23-277_seg8
56,sharma2025_birth::local:CETI23-278_seg1
57,sharma2025_birth::local:CETI23-278_seg2
