codatype,is_noise_type,length,n_members,centroid,mean_dist_to_centroid,r95,nosc_p50,nosc_p90,nosc_p95,nosc_p99
3-NOISE,True,3,21,"[0.258435, 0.292377]",0.09948670664458957,0.19259100096718704,0.02533707558598661,0.07849040443423644,0.1002558167739409,0.12560715354491242
3D,False,3,61,"[0.196053, 0.128002]",0.03444145428618933,0.08927959888728229,0.005536244214266568,0.017851967694906913,0.020610798628388962,0.04581404500117841
3R,False,3,21,"[0.06298, 0.076703]",0.014841766818019256,0.0399790183674519,0.003599999999999992,0.014402777509911062,0.026437095150564485,0.031775152039942176
1+31,False,4,51,"[0.347142, 0.197671, 0.176369]",0.06666769467300744,0.17362892362273213,0.016206716457691218,0.03634098754244303,0.040000923518398145,0.051927425302118524
1+32,False,4,72,"[0.239275, 0.083322, 0.072924]",0.011114876395279511,0.02880301041780096,0.002828427124746188,0.009230149155083352,0.016414925233090943,0.03115035121429995
4-NOISE,True,4,51,"[0.332913, 0.27695, 0.252696]",0.23366991784724792,0.4313377498951295,0.04791289602664402,0.09734557000706295,0.14008146653822898,0.21180211124151588
4D,False,4,219,"[0.249107, 0.160033, 0.112874]",0.018398808661970245,0.04098870480725038,0.003402939905434729,0.009050966529546681,0.011189108364867705,0.02533949486473634
4R1,False,4,84,"[0.079564, 0.078851, 0.093989]",0.04451665667338755,0.08941778182625756,0.009534406238144142,0.019750301258839198,0.024665596031929266,0.03467790188740321
4R2,False,4,340,"[0.332909, 0.324122, 0.321298]",0.08498406080786539,0.18295829042435943,0.007147036189298397,0.016181249833992273,0.025375863888046298,0.05371718233664683
5-NOISE,True,4,1,"[0.451462, 0.416904, 0.398621]",0.0,0.0,,,,
1+1+3,False,5,3589,"[0.364711, 0.351789, 0.182948, 0.172022]",0.11779727119731398,0.20547613728835004,0.007292876890500771,0.014524391708640871,0.01868805463340224,0.02763855043549364
2+3,False,5,77,"[0.051522, 0.20886, 0.195677, 0.198894]",0.03666111508397914,0.06994670082872893,0.012882462821603633,0.026442182666890423,0.030512841107547914,0.041360843082043804
5-NOISE,True,5,278,"[0.223544, 0.216161, 0.170392, 0.181724]",0.22268412820101896,0.5464232409670128,0.019827603366877423,0.0779249453206912,0.08375260864674425,0.15775329990265755
