unified_index,final_label,origin,distance,cluster_id,source,n_clicks,clan,coda_type_truth
0,5R3,dswp-real,,,sharma2024_dswp,5,EC1,5R3
1,5R3,dswp-real,,,sharma2024_dswp,5,EC1,5R3
2,5R3,dswp-real,,,sharma2024_dswp,5,EC1,5R3
3,5R3,dswp-real,,,sharma2024_dswp,5,EC1,5R3
4,5R3,dswp-real,,,sharma2024_dswp,5,EC1,5R3
5,5R3,dswp-real,,,sharma2024_dswp,5,EC1,5R3
6,5R3,dswp-real,,,sharma2024_dswp,5,EC1,5R3
7,5R3,dswp-real,,,sharma2024_dswp,5,EC1,5R3
8,5R3,dswp-real,,,sharma2024_dswp,5,EC1,5R3
9,5R3,dswp-real,,,sharma2024_dswp,5,EC1,5R3
10,4R1,dswp-real,,,sharma2024_dswp,4,EC1,4R1
11,5R1,dswp-real,,,sharma2024_dswp,5,EC1,5R1
12,5R1,dswp-real,,,sharma2024_dswp,5,EC1,5R1
13,5R1,dswp-real,,,sharma2024_dswp,5,EC1,5R1
14,6i,dswp-real,,,sharma2024_dswp,6,EC1,6i
15,6i,dswp-real,,,sharma2024_dswp,6,EC1,6i
16,6i,dswp-real,,,sharma2024_dswp,6,EC1,6i
17,6i,dswp-real,,,sharma2024_dswp,6,EC1,6i
18,6i,dswp-real,,,sharma2024_dswp,6,EC1,6i
19,6-NOISE,discovery-noise,,,sharma2024_dswp,6,EC1,6-NOISE
20,6i,dswp-real,,,sharma2024_dswp,6,EC1,6i
21,6-NOISE,discovery-noise,,,sharma2024_dswp,6,EC1,6-NOISE
22,7i,dswp-real,,,sharma2024_dswp,7,EC1,7i
23,7i,dswp-real,,,sharma2024_dswp,7,EC1,7i
24,7D1,dswp-real,,,sharma2024_dswp,7,EC1,7D1
25,7D1,dswp-real,,,sharma2024_dswp,7,EC1,7D1
26,7D1,dswp-real,,,sharma2024_dswp,7,EC1,7D1
27,7D1,dswp-real,,,sharma2024_dswp,7,EC1,7D1
28,7D1,dswp-real,,,sharma2024_dswp,7,EC1,7D1
29,7D1,dswp-real,,,sharma2024_dswp,7,EC1,7D1
30,7i,dswp-real,,,sharma2024_dswp,7,EC1,7i
31,7i,dswp-real,,,sharma2024_dswp,7,EC1,7i
32,7i,dswp-real,,,sharma2024_dswp,7,EC1,7i
33,7i,dswp-real,,,sharma2024_dswp,7,EC1,7i
34,8-NOISE,discovery-noise,,,sharma2024_dswp,8,EC1,8-NOISE
35,8i,dswp-real,,,sharma2024_dswp,8,EC1,8i
36,8R,dswp-real,,,sharma2024_dswp,8,EC1,8R
37,9-NOISE,discovery-noise,,,sharma2024_dswp,9,EC1,9-NOISE
38,9R,dswp-real,,,sharma2024_dswp,9,EC1,9R
39,5R1,dswp-real,,,sharma2024_dswp,5,EC1,5R1
40,6i,dswp-real,,,sharma2024_dswp,6,EC1,6i
41,4R2,dswp-real,,,sharma2024_dswp,4,EC1,4R2
42,4R2,dswp-real,,,sharma2024_dswp,4,EC1,4R2
43,4R2,dswp-real,,,sharma2024_dswp,4,EC1,4R2
44,4R2,dswp-real,,,sharma2024_dswp,4,EC1,4R2
45,4R2,dswp-real,,,sharma2024_dswp,4,EC1,4R2
46,4R2,dswp-real,,,sharma2024_dswp,4,EC1,4R2
47,4R2,dswp-real,,,sharma2024_dswp,4,EC1,4R2
48,4R2,dswp-real,,,sharma2024_dswp,4,EC1,4R2
49,4R2,dswp-real,,,sharma2024_dswp,4,EC1,4R2
50,4R2,dswp-real,,,sharma2024_dswp,4,EC1,4R2
51,4R2,dswp-real,,,sharma2024_dswp,4,EC1,4R2
52,4R2,dswp-real,,,sharma2024_dswp,4,EC1,4R2
53,4R2,dswp-real,,,sharma2024_dswp,4,EC1,4R2
54,1+1+3,dswp-real,,,sharma2024_dswp,5,EC1,1+1+3
55,1+1+3,dswp-real,,,sharma2024_dswp,5,EC1,1+1+3
56,1+1+3,dswp-real,,,sharma2024_dswp,5,EC1,1+1+3
57,1+1+3,dswp-real,,,sharma2024_dswp,5,EC1,1+1+3
58,1+1+3,dswp-real,,,sharma2024_dswp,5,EC1,1+1+3
59,1+1+3,dswp-real,,,sharma2024_dswp,5,EC1,1+1+3
