clan,k,n_classified,n_unique_labels,topk_coverage
EC1,1,5566,55,0.7781171397772189
EC1,3,5566,55,0.8539346029464606
EC1,5,5566,55,0.8864534674811355
EC1,10,5566,55,0.9410707869205893
PALI,1,1946,43,0.1659815005138746
PALI,3,1946,43,0.40698869475847893
PALI,5,1946,43,0.5606372045220966
PALI,10,1946,43,0.8067831449126414
FP,1,1639,91,0.08419768151311775
FP,3,1639,91,0.2483221476510067
FP,5,1639,91,0.3404514948139109
FP,10,1639,91,0.4856619890176937
REG,1,7998,54,0.24081020255063765
REG,3,7998,54,0.568642160540135
REG,5,7998,54,0.7289322330582646
REG,10,7998,54,0.919229807451863
RI,1,1651,64,0.19442761962447003
RI,3,1651,64,0.3882495457298607
RI,5,1651,64,0.5402786190187765
RI,10,1651,64,0.7262265293761356
SH,1,4782,89,0.48180677540777916
SH,3,4782,89,0.5790464240903388
SH,5,4782,89,0.649728147218737
SH,10,4782,89,0.7567963195315768
PO,1,1871,48,0.14751469802244788
PO,3,1871,48,0.4339925173703902
PO,5,1871,48,0.606627471940139
PO,10,1871,48,0.8156066274719401
SI,1,1166,49,0.17152658662092624
SI,3,1166,49,0.4176672384219554
SI,5,1166,49,0.5660377358490566
SI,10,1166,49,0.7847341337907375
