cluster_label,n_clicks,elki_cluster_id,n_members,n_dswp,n_hersh,n_birth
P3c1,3,1,15,0,15,0
P3c2,3,2,17,0,17,0
P3c3,3,3,17,1,16,0
P3c4,3,4,102,3,98,1
P3c5,3,5,80,0,80,0
P3c6,3,6,99,0,99,0
P3c7,3,7,34,0,34,0
P3c8,3,8,18,0,17,1
P3c9,3,9,32,0,32,0
P3c10,3,10,185,3,181,1
P3c11,3,11,56,9,47,0
P3c12,3,12,12,0,12,0
P3c13,3,13,24,0,24,0
P3c14,3,14,28,1,27,0
P3c15,3,15,70,0,70,0
P3c16,3,16,30,0,30,0
P3c17,3,17,21,0,21,0
P3c18,3,18,17,0,17,0
P3c19,3,19,30,0,30,0
P3c20,3,20,48,0,48,0
P3c21,3,21,17,0,17,0
P3c22,3,22,13,0,13,0
P3c23,3,23,31,0,31,0
P3c24,3,24,12,0,12,0
P3c25,3,25,24,3,21,0
P3c26,3,26,12,0,11,1
P4c2,4,2,10,6,2,2
P4c3,4,3,10,1,4,5
P4c4,4,4,29,2,25,2
P4c6,4,6,13,0,12,1
P4c7,4,7,16,0,16,0
P4c8,4,8,25,1,24,0
P4c10,4,10,93,2,90,1
P4c11,4,11,16,4,6,6
P4c12,4,12,36,2,31,3
P4c13,4,13,16,0,16,0
P4c14,4,14,12,0,12,0
P4c15,4,15,14,0,14,0
P4c16,4,16,12,0,12,0
P4c17,4,17,15,0,15,0
P4c19,4,19,46,0,46,0
P4c20,4,20,15,0,15,0
P4c21,4,21,109,0,109,0
P4c22,4,22,22,0,22,0
P4c23,4,23,13,0,13,0
P4c24,4,24,56,0,56,0
P4c25,4,25,28,0,28,0
P4c26,4,26,58,0,58,0
P4c27,4,27,11,8,2,1
P4c28,4,28,22,0,22,0
P5c1,5,1,32,32,0,0
P5c2,5,2,17,17,0,0
P5c3,5,3,54,0,54,0
P5c4,5,4,11,0,11,0
P5c5,5,5,28,24,3,1
P5c6,5,6,15,0,15,0
P5c7,5,7,15,14,1,0
P5c8,5,8,35,0,35,0
P5c10,5,10,14,0,14,0
P5c11,5,11,22,0,22,0
P5c12,5,12,17,0,17,0
P5c13,5,13,21,0,21,0
P5c14,5,14,25,0,25,0
P5c15,5,15,11,11,0,0
P5c16,5,16,42,0,42,0
P5c17,5,17,19,0,19,0
P5c18,5,18,58,0,58,0
P5c19,5,19,285,1,284,0
P5c20,5,20,74,74,0,0
P5c21,5,21,14,0,14,0
P5c22,5,22,20,0,20,0
P5c23,5,23,68,0,68,0
P5c24,5,24,24,0,24,0
P6c1,6,1,19,0,19,0
P6c2,6,2,15,0,15,0
P6c3,6,3,44,0,44,0
P6c4,6,4,20,2,18,0
P6c5,6,5,299,0,299,0
P6c6,6,6,15,0,15,0
P6c7,6,7,18,0,18,0
P6c8,6,8,10,0,10,0
P6c9,6,9,46,1,45,0
P6c10,6,10,93,0,93,0
P6c11,6,11,16,15,0,1
P7c1,7,1,28,0,28,0
P7c2,7,2,24,0,24,0
P7c3,7,3,48,0,48,0
P7c4,7,4,123,0,120,3
P7c5,7,5,20,0,20,0
P7c6,7,6,24,0,24,0
P7c7,7,7,58,1,57,0
P7c8,7,8,22,0,22,0
P7c9,7,9,14,0,14,0
P7c10,7,10,15,0,15,0
P7c11,7,11,20,0,20,0
P7c12,7,12,34,0,34,0
P7c13,7,13,22,1,21,0
P7c14,7,14,12,0,12,0
P7c16,7,16,16,0,16,0
P7c17,7,17,10,0,10,0
P7c18,7,18,52,0,52,0
P8c1,8,1,33,0,33,0
P8c2,8,2,12,0,12,0
P8c3,8,3,58,6,50,2
P8c4,8,4,16,0,16,0
P8c5,8,5,31,0,31,0
P8c6,8,6,16,0,16,0
P9c1,9,1,39,1,37,1
P9c2,9,2,31,0,31,0
P9c3,9,3,12,12,0,0
P9c4,9,4,18,0,18,0
P9c5,9,5,24,0,24,0
P10c1,10,1,65,0,64,1
P10c2,10,2,15,0,15,0
P10c3,10,3,75,0,75,0
P10c4,10,4,40,0,40,0
