unified_index,length,clan,truth,predicted,nn_distance,tau,outcome
158,3,EC1,3D,3D,0.01802775637731995,0.1,correct
159,3,EC1,3D,3D,0.006708203932499375,0.1,correct
160,3,EC1,3D,3D,0.0021295929775428895,0.1,correct
161,3,EC1,3D,3D,0.005536244214266568,0.1,correct
162,3,EC1,3D,3D,0.005548131780158074,0.1,correct
163,3,EC1,3D,3D,0.004404455403338762,0.1,correct
164,3,EC1,3D,3D,0.007211102550927985,0.1,correct
189,3,EC1,3D,3D,0.020610798628388962,0.1,correct
190,3,EC1,3D,3D,0.006708203932499375,0.1,correct
191,3,EC1,3D,3D,0.0029690779713574503,0.1,correct
192,3,EC1,3D,3D,0.013000000000000012,0.1,correct
193,3,EC1,3D,3D,0.008983587597947722,0.1,correct
194,3,EC1,3D,3D,0.012487809025205335,0.1,correct
1067,3,EC1,3R,3R,0.014402777509911062,0.1,correct
1068,3,EC1,3R,3R,0.004900000000000002,0.1,correct
1358,3,EC1,3R,3R,0.002012461179749819,0.1,correct
1359,3,EC1,3R,3R,0.0019416487838947501,0.1,correct
1360,3,EC1,3R,3R,0.003599999999999992,0.1,correct
1361,3,EC1,3R,3R,0.0029332190985332162,0.1,correct
1430,3,EC1,3R,3R,0.0070342021580275926,0.1,correct
1431,3,EC1,3R,3R,0.0019104973174542909,0.1,correct
1519,3,EC1,3R,3R,0.0019104973174542909,0.1,correct
1614,3,EC1,3R,3R,0.003599999999999992,0.1,correct
1742,3,EC1,3R,3R,0.004900000000000002,0.1,correct
1743,3,EC1,3R,3R,0.002012461179749819,0.1,correct
1744,3,EC1,3R,3R,0.004919349550499536,0.1,correct
1745,3,EC1,3R,3R,0.008490583018850938,0.1,correct
2197,3,EC1,3D,3D,0.005536244214266568,0.1,correct
2269,3,EC1,3R,3R,0.004204759208325723,0.1,correct
2327,3,EC1,3D,3D,0.016552945357246864,0.1,correct
2328,3,EC1,3D,3D,0.009848857801796113,0.1,correct
2329,3,EC1,3D,3D,0.007280109889280525,0.1,correct
2330,3,EC1,3D,3D,0.007280109889280525,0.1,correct
2341,3,EC1,3D,3D,0.009848857801796113,0.1,correct
2466,3,EC1,3D,3D,0.013601470508735433,0.1,correct
2467,3,EC1,3D,3D,0.013601470508735433,0.1,correct
2636,3,EC1,3R,3R,0.03310966626228659,0.1,correct
2984,3,EC1,3R,3R,0.026437095150564485,0.1,correct
3736,3,EC1,3D,3D,0.025709920264364874,0.1,correct
3918,3,EC1,3D,3R,0.026009421369957472,0.1,mismatch
4988,3,EC1,3D,3D,0.0008137294697871069,0.1,correct
4989,3,EC1,3D,3D,0.0022775495076946106,0.1,correct
4990,3,EC1,3D,3D,0.0035509261960789897,0.1,correct
4991,3,EC1,3D,3D,0.014615868673807918,0.1,correct
4992,3,EC1,3D,3D,0.0018458896635498,0.1,correct
5004,3,EC1,3D,3D,0.0076455277940767445,0.1,correct
5005,3,EC1,3D,3D,0.0030036803591594087,0.1,correct
5057,3,EC1,3D,3D,0.017851967694906913,0.1,correct
5058,3,EC1,3D,3D,0.001797354102563005,0.1,correct
5059,3,EC1,3D,3D,0.0034649275331527386,0.1,correct
5060,3,EC1,3D,3D,0.006533460603692332,0.1,correct
5061,3,EC1,3D,3D,0.0014434690228750935,0.1,correct
5062,3,EC1,3D,3D,0.0014434690228750935,0.1,correct
5135,3,EC1,3R,3R,0.0029332190985332162,0.1,correct
5158,3,EC1,3D,3D,0.006533460603692332,0.1,correct
5159,3,EC1,3D,3D,0.0021295929775428895,0.1,correct
5160,3,EC1,3D,3D,0.0070130424567373265,0.1,correct
5161,3,EC1,3D,3D,0.005175379816979626,0.1,correct
5162,3,EC1,3D,3D,0.005175379816979626,0.1,correct
5163,3,EC1,3D,3D,0.0022261538581149322,0.1,correct
5164,3,EC1,3D,3D,0.0020421875158760576,0.1,correct
5165,3,EC1,3D,3D,0.0020421875158760576,0.1,correct
5166,3,EC1,3D,3D,0.0022261538581149322,0.1,correct
5167,3,EC1,3D,3D,0.004404455403338762,0.1,correct
5168,3,EC1,3D,3D,0.008983587597947722,0.1,correct
5169,3,EC1,3D,3D,0.006574662730513247,0.1,correct
6089,3,EC1,3D,3D,0.017851967694906913,0.1,correct
6090,3,EC1,3D,3D,0.006199521546861497,0.1,correct
6091,3,EC1,3D,3D,0.0018458896635498,0.1,correct
6093,3,EC1,3D,3D,0.001797354102563005,0.1,correct
6094,3,EC1,3D,3D,0.002464555542080555,0.1,correct
8239,3,EC1,3D,3D,0.0008137294697871069,0.1,correct
8240,3,EC1,3D,3D,0.004110527120698755,0.1,correct
8241,3,EC1,3D,3D,0.0047774387709315635,0.1,correct
8242,3,EC1,3D,3D,0.0029690779713574503,0.1,correct
8243,3,EC1,3D,3D,0.0030486669217872934,0.1,correct
8244,3,EC1,3D,3D,0.003331448792942801,0.1,correct
8245,3,EC1,3D,3D,0.003331448792942801,0.1,correct
8296,3,EC1,3R,3R,1.2182364302545968e-05,0.1,correct
8297,3,EC1,3R,3R,2.348297255459288e-05,0.1,correct
8407,3,EC1,3R,3R,1.2182364302545968e-05,0.1,correct
8408,3,EC1,3D,3R,2.348297255459288e-05,0.1,mismatch
10,4,EC1,4R1,4R1,0.007754998388136522,0.1,correct
41,4,EC1,4R2,4R2,0.0024494897427831805,0.1,correct
42,4,EC1,4R2,4R2,0.0024494897427831805,0.1,correct
43,4,EC1,4R2,4R2,0.009099315781420036,0.1,correct
44,4,EC1,4R2,4R2,0.005744562646538034,0.1,correct
45,4,EC1,4R2,4R2,0.004123105625617638,0.1,correct
46,4,EC1,4R2,4R2,0.0024494897427831805,0.1,correct
47,4,EC1,4R2,4R2,0.002236067977499792,0.1,correct
48,4,EC1,4R2,4R2,0.00509901951359279,0.1,correct
49,4,EC1,4R2,4R2,0.002236067977499792,0.1,correct
50,4,EC1,4R2,4R2,0.02222611077089289,0.1,correct
51,4,EC1,4R2,4R2,0.004696822888932474,0.1,correct
52,4,EC1,4R2,4R2,0.004123105625617638,0.1,correct
53,4,EC1,4R2,4R2,0.007810249675906661,0.1,correct
109,4,EC1,4R2,4R2,0.014456832294800975,0.1,correct
113,4,EC1,4R2,4R2,0.00375008742564757,0.1,correct
114,4,EC1,4R2,4R2,0.016058737699769565,0.1,correct
124,4,EC1,4R2,4R2,0.01729508600730273,0.1,correct
125,4,EC1,4R2,4R2,0.004393666681713566,0.1,correct
126,4,EC1,4R2,4R2,0.006708203932499325,0.1,correct
127,4,EC1,4R2,4R2,0.008184982392161892,0.1,correct
128,4,EC1,4R2,4R2,0.00235760618212626,0.1,correct
129,4,EC1,4R2,4R2,0.006557438524302007,0.1,correct
130,4,EC1,4R2,4R2,0.007948219089204818,0.1,correct
131,4,EC1,4R2,4R2,0.008514325883474262,0.1,correct
132,4,EC1,4R2,4R2,0.0030102913297553407,0.1,correct
133,4,EC1,4R2,4R2,0.007071067811865427,0.1,correct
134,4,EC1,4R2,4R2,0.007348469228349541,0.1,correct
135,4,EC1,4R2,4R2,0.00509901951359279,0.1,correct
136,4,EC1,4R2,4R2,0.004093056370244622,0.1,correct
137,4,EC1,4R2,4R2,0.01040522743480412,0.1,correct
138,4,EC1,4R2,4R2,0.0040000000000000036,0.1,correct
139,4,EC1,4R2,4R2,0.005999999999999969,0.1,correct
165,4,EC1,4R2,4R2,0.011787275530842614,0.1,correct
166,4,EC1,4R2,4R2,0.009643650760992963,0.1,correct
167,4,EC1,4R2,4R2,0.004910821215438456,0.1,correct
168,4,EC1,4R2,4R2,0.013521456654517665,0.1,correct
169,4,EC1,4R2,4R2,0.022891046284519184,0.1,correct
170,4,EC1,4R2,4R2,0.01357072073178136,0.1,correct
171,4,EC1,4R2,4R2,0.004671660488520129,0.1,correct
172,4,EC1,4R2,4R2,0.008210359310042395,0.1,correct
173,4,EC1,4R2,4R2,0.010025869196733032,0.1,correct
174,4,EC1,4R2,4R2,0.002772130758099262,0.1,correct
175,4,EC1,4R2,4R2,0.009643650760992963,0.1,correct
205,4,EC1,1+31,1+31,0.008124038404635967,0.1,correct
206,4,EC1,1+31,1+31,0.021610182784974306,0.1,correct
232,4,EC1,4R2,4R2,0.005054936146975492,0.1,correct
233,4,EC1,4R2,4R2,0.01108158816325532,0.1,correct
234,4,EC1,4R2,4R2,0.0074281266151029,0.1,correct
235,4,EC1,4R2,4R2,0.00509901951359279,0.1,correct
236,4,EC1,4R2,4R2,0.011207468903369785,0.1,correct
237,4,EC1,4R2,4R2,0.0040000000000000036,0.1,correct
238,4,EC1,4R2,4R2,0.005036864103785181,0.1,correct
239,4,EC1,4R2,4R2,0.007681145747868594,0.1,correct
240,4,EC1,4R2,4R2,0.0024494897427831805,0.1,correct
241,4,EC1,4R1,4R1,0.0249293682306632,0.1,correct
247,4,EC1,4R2,4R2,0.0034769808526938675,0.1,correct
248,4,EC1,4R2,4R2,0.00518477155813063,0.1,correct
249,4,EC1,4R2,4R2,0.007091087882687694,0.1,correct
250,4,EC1,4R2,4R2,0.007605567107060464,0.1,correct
251,4,EC1,4R2,4R2,0.003231135852916152,0.1,correct
252,4,EC1,4R2,4R2,0.00767605420056421,0.1,correct
253,4,EC1,4R2,4R2,0.0066760766921898015,0.1,correct
254,4,EC1,4R2,4R2,0.006403124237432854,0.1,correct
311,4,EC1,4R1,4R1,0.014624978632463021,0.1,correct
340,4,EC1,4R1,4R1,0.017619023809507726,0.1,correct
385,4,EC1,4D,4D,0.01076592020498015,0.1,correct
507,4,EC1,4R1,4R1,0.007718160402582992,0.1,correct
508,4,EC1,4R1,4R1,0.004745524207081862,0.1,correct
534,4,EC1,4R1,4R1,0.029681644159311654,0.1,correct
564,4,EC1,4R1,4R1,0.04064837020103021,0.1,correct
565,4,EC1,4R1,4R1,0.014106027080648897,0.1,correct
643,4,EC1,4R1,4R1,0.010137553945602461,0.1,correct
773,4,EC1,4D,4D,0.005860034129593458,0.1,correct
774,4,EC1,4D,4D,0.0085146931829632,0.1,correct
871,4,EC1,4D,4D,0.0017464249196573077,0.1,correct
872,4,EC1,4D,4D,0.0046572524088780275,0.1,correct
873,4,EC1,4D,4D,0.001643167672515505,0.1,correct
874,4,EC1,4D,4D,0.005086255990411816,0.1,correct
881,4,EC1,4D,4D,0.004197618372363084,0.1,correct
882,4,EC1,4D,4D,0.00581721582889959,0.1,correct
883,4,EC1,4D,4D,0.0008185352771872515,0.1,correct
901,4,EC1,4D,4D,0.008714929718592123,0.1,correct
902,4,EC1,4D,4D,0.0033256578296631755,0.1,correct
903,4,EC1,4D,4D,0.002140093455903275,0.1,correct
904,4,EC1,4D,4D,0.0013416407864998833,0.1,correct
905,4,EC1,4D,4D,0.0015588457268119764,0.1,correct
906,4,EC1,4D,4D,0.003674234614174754,0.1,correct
907,4,EC1,4D,4D,0.004086563348340517,0.1,correct
908,4,EC1,4D,4D,0.0032388269481403295,0.1,correct
909,4,EC1,4D,4D,0.003945883931389755,0.1,correct
910,4,EC1,4D,4D,0.0035057096285916155,0.1,correct
960,4,EC1,4D,4D,0.002979932885150266,0.1,correct
961,4,EC1,4D,4D,0.00544242592967511,0.1,correct
962,4,EC1,4D,4D,0.0030215889859476234,0.1,correct
963,4,EC1,4D,4D,0.004582575694955844,0.1,correct
964,4,EC1,4D,4D,0.003945883931389755,0.1,correct
965,4,EC1,4D,4D,0.002046948949045875,0.1,correct
966,4,EC1,4D,4D,0.009619771307052973,0.1,correct
971,4,EC1,4D,4D,0.009049861877398997,0.1,correct
972,4,EC1,4D,4D,0.005565069631190601,0.1,correct
973,4,EC1,4D,4D,0.0061457302251237515,0.1,correct
974,4,EC1,4D,4D,0.0009899494936611317,0.1,correct
975,4,EC1,4D,4D,0.003402939905434729,0.1,correct
976,4,EC1,4D,4D,0.004319722213291033,0.1,correct
977,4,EC1,4D,4D,0.005565069631190601,0.1,correct
978,4,EC1,4D,4D,0.012249897958758672,0.1,correct
983,4,EC1,4D,4D,0.02533949486473634,0.1,correct
984,4,EC1,4D,4D,0.0029068883707497216,0.1,correct
985,4,EC1,4D,4D,0.0022934689882359543,0.1,correct
986,4,EC1,4D,4D,0.0052564246403805715,0.1,correct
987,4,EC1,4D,4D,0.0028231188426986165,0.1,correct
988,4,EC1,4D,4D,0.0036891733491393472,0.1,correct
989,4,EC1,4D,4D,0.004075536774462975,0.1,correct
990,4,EC1,4D,4D,0.002046948949045852,0.1,correct
991,4,EC1,4D,4D,0.0019052558883257717,0.1,correct
992,4,EC1,4D,4D,0.0029748949561287214,0.1,correct
993,4,EC1,4D,4D,0.003402939905434729,0.1,correct
994,4,EC1,4D,4D,0.010061808982484223,0.1,correct
995,4,EC1,4D,4D,0.011057576588023242,0.1,correct
996,4,EC1,4D,4D,0.004729693436154178,0.1,correct
