recording_id,n_codas,n_noise,noise_rate,n_clicks_median,source
245,1,1,1.0,4.0,hersh2022_pacific
134,13,13,1.0,8.0,hersh2022_pacific
161,1,1,1.0,5.0,hersh2022_pacific
30,4,4,1.0,5.0,hersh2022_pacific
113,1,1,1.0,4.0,hersh2022_pacific
34,6,5,0.8333333333333334,5.0,hersh2022_pacific
230,38,30,0.7894736842105263,5.0,hersh2022_pacific
249,46,36,0.782608695652174,6.0,hersh2022_pacific
152,4,3,0.75,6.0,hersh2022_pacific
153,247,183,0.7408906882591093,6.0,hersh2022_pacific
136,75,55,0.7333333333333333,6.0,hersh2022_pacific
CETI23-290,263,192,0.7300380228136882,5.0,sharma2025_birth
CETI23-289,279,198,0.7096774193548387,5.0,sharma2025_birth
253,89,63,0.7078651685393258,5.0,hersh2022_pacific
93,30,21,0.7,5.0,hersh2022_pacific
155,31,21,0.6774193548387096,5.0,hersh2022_pacific
221,9,6,0.6666666666666666,6.0,hersh2022_pacific
247,36,24,0.6666666666666666,3.0,hersh2022_pacific
22,3,2,0.6666666666666666,5.0,hersh2022_pacific
CETI23-288,235,155,0.6595744680851063,5.0,sharma2025_birth
85,44,29,0.6590909090909091,3.0,hersh2022_pacific
137,101,66,0.6534653465346535,6.0,hersh2022_pacific
215,60,39,0.65,5.0,hersh2022_pacific
58,120,77,0.6416666666666667,6.0,hersh2022_pacific
252,78,49,0.6282051282051282,5.0,hersh2022_pacific
213,135,83,0.6148148148148148,4.0,hersh2022_pacific
91,189,116,0.6137566137566137,5.0,hersh2022_pacific
28,23,14,0.6086956521739131,6.0,hersh2022_pacific
151,123,74,0.6016260162601627,6.0,hersh2022_pacific
211,25,15,0.6,7.0,hersh2022_pacific
CETI23-286,151,90,0.5960264900662252,5.0,sharma2025_birth
250,37,22,0.5945945945945946,5.0,hersh2022_pacific
156,160,95,0.59375,4.0,hersh2022_pacific
148,54,32,0.5925925925925926,5.5,hersh2022_pacific
149,200,117,0.585,6.0,hersh2022_pacific
203,60,35,0.5833333333333334,3.0,hersh2022_pacific
217,280,163,0.5821428571428572,5.0,hersh2022_pacific
82,98,57,0.5816326530612245,3.0,hersh2022_pacific
231,21,12,0.5714285714285714,6.0,hersh2022_pacific
CETI23-294,118,67,0.5677966101694916,5.0,sharma2025_birth
224,64,36,0.5625,6.0,hersh2022_pacific
CETI23-291,80,45,0.5625,5.0,sharma2025_birth
CETI23-292,950,534,0.5621052631578948,5.0,sharma2025_birth
68,25,14,0.56,6.0,hersh2022_pacific
145,61,34,0.5573770491803278,6.0,hersh2022_pacific
CETI23-285,477,262,0.549266247379455,5.0,sharma2025_birth
8,33,18,0.5454545454545454,6.0,hersh2022_pacific
229,47,25,0.5319148936170213,6.0,hersh2022_pacific
216,361,192,0.5318559556786704,6.0,hersh2022_pacific
251,95,50,0.5263157894736842,5.0,hersh2022_pacific
CETI23-287,506,263,0.5197628458498024,5.0,sharma2025_birth
234,62,32,0.5161290322580645,7.0,hersh2022_pacific
171,31,16,0.5161290322580645,5.0,hersh2022_pacific
13,66,34,0.5151515151515151,6.0,hersh2022_pacific
83,72,37,0.5138888888888888,4.0,hersh2022_pacific
214,221,112,0.5067873303167421,7.0,hersh2022_pacific
CETI23-293,567,287,0.5061728395061729,5.0,sharma2025_birth
138,691,346,0.5007235890014472,5.0,hersh2022_pacific
188,14,7,0.5,3.0,hersh2022_pacific
76,64,32,0.5,6.0,hersh2022_pacific
256,34,17,0.5,5.0,hersh2022_pacific
183,2,1,0.5,5.5,hersh2022_pacific
164,2,1,0.5,5.5,hersh2022_pacific
59,125,62,0.496,4.0,hersh2022_pacific
87,58,28,0.4827586206896552,3.0,hersh2022_pacific
228,94,45,0.4787234042553192,4.0,hersh2022_pacific
254,57,27,0.47368421052631576,7.0,hersh2022_pacific
187,193,89,0.46113989637305697,4.0,hersh2022_pacific
218,113,52,0.46017699115044247,5.0,hersh2022_pacific
193,90,41,0.45555555555555555,4.5,hersh2022_pacific
232,33,15,0.45454545454545453,7.0,hersh2022_pacific
174,51,23,0.45098039215686275,4.0,hersh2022_pacific
157,234,105,0.44871794871794873,4.0,hersh2022_pacific
186,9,4,0.4444444444444444,7.0,hersh2022_pacific
212,362,160,0.4419889502762431,5.0,hersh2022_pacific
101,68,30,0.4411764705882353,6.0,hersh2022_pacific
7,82,35,0.4268292682926829,7.0,hersh2022_pacific
47,41,17,0.4146341463414634,7.0,hersh2022_pacific
209,34,14,0.4117647058823529,6.0,hersh2022_pacific
14,37,15,0.40540540540540543,4.0,hersh2022_pacific
11,5,2,0.4,5.0,hersh2022_pacific
81,108,43,0.39814814814814814,3.0,hersh2022_pacific
25,18,7,0.3888888888888889,6.0,hersh2022_pacific
131,629,243,0.3863275039745628,5.0,hersh2022_pacific
173,29,11,0.3793103448275862,3.0,hersh2022_pacific
88,125,47,0.376,3.0,hersh2022_pacific
226,64,24,0.375,4.0,hersh2022_pacific
177,91,34,0.37362637362637363,4.0,hersh2022_pacific
233,126,47,0.373015873015873,7.0,hersh2022_pacific
1,54,20,0.37037037037037035,6.0,hersh2022_pacific
35,19,7,0.3684210526315789,7.0,hersh2022_pacific
219,107,39,0.3644859813084112,5.0,hersh2022_pacific
257,55,20,0.36363636363636365,4.0,hersh2022_pacific
