=== source: childes_uk ===

-- Conversation 020203::4 (2456 lemmas, speakers: CHI, DAD, MOT) --
  *CHI:	a biscuit .
  *CHI:	let us go .
  *MOT:	let us go .
  *CHI:	mummy .
  *MOT:	mummy lady .
  *CHI:	mummy .
  *CHI:	let us go .
  *MOT:	where be we go .
  *CHI:	mummy .
  *CHI:	let us go .
  *CHI:	mummy .
  *CHI:	let us go .
  *MOT:	let us go .
  *MOT:	oh .
  *MOT:	i be not move .
  *MOT:	right .
  *MOT:	where be we go .
  *CHI:	nursery .
  *MOT:	go to nursery .
  *CHI:	yes .
  *MOT:	come on then .
  *CHI:	mummy lady .
  *CHI:	down you go .
  *MOT:	my lady be go to go off the ramp .
  *MOT:	watch .
  *MOT:	ready steady .
  *CHI:	more .
  *MOT:	lara do it .
  *CHI:	no .
  *CHI:	mummy one .
  *MOT:	can you bring it to mummy .
  *MOT:	again .
  *MOT:	lara do it .
  *CHI:	say excuse me .
  *MOT:	excuse me .
  *MOT:	the way .
  *MOT:	lara be lady be come .
  *CHI:	ready steady .
  *MOT:	go .
  *MOT:	do you want wee wee .
  *CHI:	no .
  *CHI:	i can do this .
  *CHI:	do that .
  *MOT:	you can do that .
  *MOT:	put it in .
  *MOT:	put the lady in .
  *CHI:	mummy .
  *MOT:	bring it to mummy then .
  *CHI:	there .
  *MOT:	one two three go .
  *CHI:	go .
  *MOT:	go .
  *MOT:	oh .
  *MOT:	pardon .
  *CHI:	go .
  *MOT:	now .
  *MOT:	you have knock your lady off .
  *CHI:	no .
  *CHI:	suppose to say where be my car go .
  *MOT:	where be my car go .
  *MOT:	gentle .
  *MOT:	gentle .
  *MOT:	no .
  *MOT:	not if you be go to do that because they break it .
  *MOT:	here .
  *CHI:	sit here .
  *MOT:	okay .
  *CHI:	here .
  *CHI:	that be baby be .
  *MOT:	that be .
  *MOT:	give it to baby then .
  *CHI:	here cm baby .
  *CHI:	it be your bottle here .
  *MOT:	here be your bottle cm baby .
  *MOT:	the tractor be in here cm look .
  *CHI:	three little man sit on the wall .
  *MOT:	come on then .
  *MOT:	put three little man on the wall .
  *CHI:	mummy .
  *CHI:	make a field .
  *MOT:	make a field .
  *CHI:	yes .
  *CHI:	mummy say make a field .
  *CHI:	mummy make a field .
  *MOT:	i be do .
  *MOT:	a big field or a little field .
  *CHI:	big field .
  *MOT:	oh .
  *CHI:	daddy .
  *CHI:	daddy .
  *DAD:	yes .
  *MOT:	what be you do .
  *MOT:	you look very strange can i have those brick over there .
  *MOT:	there .
  *MOT:	the one by your knee that you be look at .
  *MOT:	that be it .
  *MOT:	thank you .
  *CHI:	see it .
  *MOT:	what .
  *CHI:	that be it .
  *MOT:	do you want some animal to go in the field .
  *CHI:	yes .
  *CHI:	that one .
  *MOT:	here we be .
  *CHI:	i can not see it .
  *MOT:	that be because it be in the box .
  *MOT:	what animal do you want .
  *CHI:	a horse one .
  *MOT:	a horse one .
  *CHI:	a little horse one .
  *MOT:	there be the horse .
  *MOT:	what be this .
  *MOT:	there be a big gorilla .
  *MOT:	oh look .
  *CHI:	oh .
  *CHI:	he be monkey .
  *MOT:	oh .
  *MOT:	be it monkey .
  *MOT:	sorry .
  *CHI:	ooh .
  *MOT:	what be this .
  *CHI:	what be that .
  *MOT:	baby horse .
  *MOT:	there be another man cm look .
  *MOT:	all the garage person here .
  *MOT:	what do you want now .
  *CHI:	this .
  *CHI:	this .
  *MOT:	what animal do you want now .
  *CHI:	i want giraffe .
  *MOT:	giraffe .
  *CHI:	giraffe not fit .
  *MOT:	he do fit .
  *MOT:	it be not a full field yet .
  *MOT:	they be eat .
  *CHI:	not full field .
  *MOT:	look .
  *MOT:	there be some dinner for the giraffe .
  *MOT:	let us make a nice full tree for the giraffe to eat .
  *MOT:	there .
  *MOT:	that be it .
  *MOT:	do you want a tissue .
  *MOT:	here you be .
  *MOT:	blow your nose .
  *CHI:	no .
  *MOT:	blow your nose .
  *CHI:	no .
  *MOT:	here you be .
  *MOT:	you do it .
  *MOT:	love .
  *MOT:	wipe your nose now .
  *MOT:	yes .
  *MOT:	lara .
  *CHI:	daddy .
  *MOT:	shh .
  *MOT:	daddy be asleep .
  *CHI:	yes .
  *CHI:	daddy be asleep .
  *MOT:	yes .
  *MOT:	what other animal do you want .
  *CHI:	not fit .
  *CHI:	not fit .
  *MOT:	he do not fit on there .
  *MOT:	he can stay on the wall .
  *CHI:	he be eat some grass .
  *MOT:	be he .
  *MOT:	what other animal do you want .
  *MOT:	do you want wee wee .
  *MOT:	do you want wee wee .
  *CHI:	what .
  *MOT:	what be it .
  *CHI:	scratch .
  *MOT:	scratch .
  *MOT:	lara .
  *MOT:	do you want a wee wee .
  *MOT:	pardon .
  *CHI:	here you be .
  *MOT:	here you be .
  *MOT:	who be this .
  *MOT:	and who be this .
  *CHI:	farm .
  *MOT:	farm can talk to the there cm look .
  *MOT:	oh .
  *MOT:	drunk .
  *MOT:	oh .
  *MOT:	farm drunk now .
  *MOT:	oh .
  *MOT:	drunk again .
  *MOT:	do not you want them to stand up .
  *MOT:	look .
  *CHI:	giraffe dinner .
  *CHI:	in there .
  *CHI:	field .
  *MOT:	be he go in the field .
  *CHI:	say where be my dinner go .
  *MOT:	where be my dinner go .
  *MOT:	lara be steal my dinner .
  *MOT:	what be that .
  *CHI:	oops .
  *MOT:	oh dear .
  *MOT:	tree be fall apart .
  *CHI:	another one .
  *MOT:	pardon .
  *CHI:	giraffe .
  *MOT:	you can not fit the mouth on .
  *CHI:	giraffe .
  *MOT:	i think i can find a elephant .
  *MOT:	shall i find a elephant .
  *CHI:	no .
  *MOT:	no .
  *MOT:	pig .
  *CHI:	yes .
  *MOT:	the pig .
  *CHI:	pig fit .
  *MOT:	the pig will fit there cm will he .
  *MOT:	be elephant too big .
  *CHI:	yes .
  *MOT:	here be baby pig .
  *CHI:	fit in there .
  *CHI:	fit in there middle .
  *MOT:	in the middle .
  *MOT:	do you want a wee wee cm lara .
  *MOT:	sausage .
  *MOT:	lara .
  *MOT:	lara .
  *CHI:	here you be cm baby .
  *MOT:	do you want wee wee .
  *CHI:	no .
  *MOT:	well .
  *MOT:	tell me rather than ignore me .
  *MOT:	look .
  *MOT:	here be a tree .
  *MOT:	we put that in the field .
  *MOT:	there .
  *CHI:	there .
  *CHI:	this can not fit .
  *MOT:	it will not fit .
  *MOT:	it will fall over there .
  *CHI:	here .
  *CHI:	here .
  *MOT:	i think you will have to prop it up with something .
  *MOT:	shall we put it here .
  *MOT:	there .
  *MOT:	that be by the field .
  *MOT:	what other animal do you want .
  *MOT:	what be this .
  *CHI:	baby .
  *MOT:	baby .
  *CHI:	lion .
  *MOT:	do you want him .
  *CHI:	no .
  *CHI:	go in the field .
  *MOT:	do you want him to go in the field .
  *CHI:	he be hide there .
  *CHI:	he be hide there .
  *MOT:	he be sit there .
  *CHI:	mummy .
  *MOT:	here be a little one .
  *MOT:	a little one .
  *MOT:	do he go in the field .
  *MOT:	a little penguin .
  *CHI:	here .
  *MOT:	oh .
  *MOT:	what be the matter .
  *CHI:	lie down .
  *CHI:	lie down .
  *CHI:	it be .
  *MOT:	cm heidi .
  *CHI:	no want that .
  *MOT:	obvious .
  *CHI:	it be a bit .
  *CHI:	mummy carry that .
  *MOT:	where do you want it .
  *CHI:	there .
  *MOT:	okay .
  *MOT:	let us put these animal and brick away first then .
  *MOT:	pass me that bit of food .
  *MOT:	the food go in this box and the brick go in that box .
  *MOT:	come on then cm heidi .
  *MOT:	come and go to sleep .
  *MOT:	oh sorry .
  *MOT:	should not she be on her back .
  *MOT:	on her front i mean .
  *MOT:	samantha .
  *CHI:	samantha .
  *MOT:	you go and get here .
  *MOT:	there .
  *MOT:	she be up there .
  *CHI:	it be fit .
  *MOT:	pardon .
  *CHI:	fit .
  *MOT:	do you want me to fit her in .
  *CHI:	yes .
  *MOT:	right .
  *MOT:	she can go heidi .
  *MOT:	pardon .
  *MOT:	rosie be i think .
  *MOT:	you take rosie to bed .
  *MOT:	do eeyore want to go to sleep .
  *CHI:	yes .
  *MOT:	go and get him then .
  *MOT:	he be up there .
  *MOT:	that be it .
  *CHI:	oh eeyore .
  *CHI:	oh .
  *CHI:	everybody be asleep .
  *MOT:	everybody be asleep .
  *MOT:	lara .
  *MOT:	do you want to sing them rock a bye baby .
  *CHI:	mummy sing it .
  *MOT:	lara sing it .
  *CHI:	no .
  *CHI:	mummy sing it .
  *MOT:	lara sing it first then mummy sing it .
  *CHI:	no .
  *CHI:	mummy say rock a bye baby .
  *CHI:	oops .
  *CHI:	come up here cm lady mummy lady .
  *CHI:	ready steady .
  *MOT:	go .
  *CHI:	there .
  *CHI:	here cm mummy .
  *MOT:	thank you .
  *CHI:	up we go .
  *MOT:	up we go .
  *CHI:	back to the garage .
  *MOT:	back to the garage .
  *CHI:	back .
  *MOT:	i have got to climb over a mountain .
  *MOT:	i be go to get to the lift first .
  *MOT:	i be go to get to the lift first .
  *MOT:	oh .
  *CHI:	my lady be come up .
  *MOT:	your lady be come up .
  *CHI:	excuse me .
  *MOT:	excuse me cm lady .
  *CHI:	say excuse me cm mummy lady .
